rank,protein_hash,protein_name,protein_accession,protein_length_aa,complex_count,source_count,NPInter 主表,NPInter binding-site,NPInter miRNA,RCSB PDB
522,a889f88f2cee785a8fa802cb95264e728c176475293cb947164f6300ea7b7215,7JL1_chain_A,7JL1:A,722,2,1,0,0,0,2
523,14b14d583e94794b226bb7a73af88cba200aca26a09f69d6c9251bfabd2b2af7,7K51_chain_GB,7K51:GB,711,2,1,0,0,0,2
524,0d9593fe14e1164b09866e4ded16644683b605e7ae8c68003314978a0196bd13,7K9Y_chain_A,7K9Y:A,428,2,1,0,0,0,2
525,10bd5810e78c5bca62d9ec0ad4e5485b10058aa1e7ff89b0e62ca3ba628eadc2,7KQM_chain_A,7KQM:A,596,2,1,0,0,0,2
526,116032a29e5ffdd88d702b6be73eb18d9b629d97c4ecbd28e8886dcd8b459a73,7KX9_chain_A,7KX9:A,768,2,1,0,0,0,2
527,163359aa205b8a95b7e18edc1131dbef1c78997f48b04bbfd7e7ffcad9d06656,7N0B_chain_B,7N0B:B,527,2,1,0,0,0,2
528,b783a2c57755c75df4bc384b0fd1f888be9551256e30a15facf9970881a4cce5,7NQ4_chain_A,7NQ4:A,405,2,1,0,0,0,2
529,1a80952020f8db7498b47e66f582299652345a02a686b2b707b682de6c852d18,7NQ4_chain_B,7NQ4:B,415,2,1,0,0,0,2
530,ed53d90afe426d6a7c3705bca1e1f43334a89770ab95997b03547a8a1c4118ff,7NT5_chain_A,7NT5:A,554,2,1,0,0,0,2
531,15d4d8c106616030ebac3652ca189329762d937b8afbb365fd056ec646981ffe,7NWW_chain_SA,7NWW:SA,116,2,1,0,0,0,2
532,f027d3da302be86a75e865eb14688db15d4a39b6102aa261a892869089ed1183,7QDY_chain_A,7QDY:A,1246,2,1,0,0,0,2
533,c4cdd7e918e50bcc7415cc23920b1e7ac6361aaf72976ffb19d512903581d88e,7QV1_chain_GA,7QV1:GA,218,2,1,0,0,0,2
534,e42c59d0db1448f442ef04b8c75468bc6bc55e1c67871edb7ac55e2ca846b87b,7QV1_chain_KA,7QV1:KA,156,2,1,0,0,0,2
535,a7c01e5032d4b2a0a25293dd2ebbf4f5f85557923841935c4557b978df792a33,7R0E_chain_A,7R0E:A,717,2,1,0,0,0,2
536,a4bb42f4a0c3e4799e263cffdd99bc0d7f24f8f7fe88087282d3417171c29e76,7R21_chain_H,7R21:H,336,2,1,0,0,0,2
537,a35c3e58690fb9ae4d8ed063f2c43e2c8b80b0c0b6d486d507e18733e00bfcce,7R21_chain_O,7R21:O,256,2,1,0,0,0,2
538,910ee67f8a48e9806965a46a3f18db0128ec232ee017e5471f4d531c31b219f1,7R2K_chain_X,7R2K:X,341,2,1,0,0,0,2
539,e88a6a15b34a3e20c98ed0bc2ab5faaba4ddeec1733334fce8ad324d85bb514e,7S36_chain_B,7S36:B,1371,2,1,0,0,0,2
540,427142b8529fef629ffc96a881d325f0016840c4b518d901a261c3bc464f7a90,7S7B_chain_B,7S7B:B,618,2,1,0,0,0,2
541,ce9af01244e870224d04f5de16a0176b9b2d61e61e201fec5040ccfb6a733fe3,7S7B_chain_C,7S7B:C,83,2,1,0,0,0,2
542,507d39939f22bcfc030a197d808ae80a534f6969e7b010649ae3497a04f31391,7SBA_chain_K,7SBA:K,146,2,1,0,0,0,2
543,376d81d9d0704b08f954689f93a043b34c63018ddac3e7026d7d9d2f4f6eaeb2,7SBB_chain_A,7SBB:A,329,2,1,0,0,0,2
544,9dad913e416f99c31c6bb1119e231f003e8d9033cf5dc3efbcf8a6c84a57d01b,7SBB_chain_I,7SBB:I,975,2,1,0,0,0,2
545,1fce6ec7c9b243c4dd10f68b01d779516bcba9686ae21adda05db869ceb04265,7SLP_chain_B,7SLP:B,480,2,1,0,0,0,2
546,f80611586982bbef7886759f2727fd58580fc91ee790bd74aff485ac07f9c91e,7TJ2_chain_A,7TJ2:A,350,2,1,0,0,0,2
547,45766f9cf3dfcce53a92ab0322a4d07911b83f7a60438aead68f87b5d838b928,7UZY_chain_C,7UZY:C,128,2,1,0,0,0,2
548,03d9cbbf54bd35d6165a29af6f21aa36c956f06927f7435aaf0813b6edfd61f7,7VG2_chain_A,7VG2:A,1621,2,1,0,0,0,2
549,65104a8e89eb106a3419b2ec90e217311624571fcf3d05fa17a909af1ba6605c,7W0A_chain_A,7W0A:A,1722,2,1,0,0,0,2
550,0e4d85be68ec0352b0ec850df55c26d4cd528ef4bf38614433a93a1f8712b6f1,7WAZ_chain_A,7WAZ:A,978,2,1,0,0,0,2
551,dfa991fc92ee483ba89e258b45d4368131adcbb33bdfb00aefc510c38d3d5847,7WKP_chain_A,7WKP:A,189,2,1,0,0,0,2
552,2c125c132679326c0f7712be3af1f8aaf0a00affb9977c3a802c6b4003f456bc,7WV4_chain_A,7WV4:A,689,2,1,0,0,0,2
553,66f9ca5b7b155bdcb9f3d4d1aa8aee90e6848cbb61d83eacc94ca237f6107326,7X7R_chain_C,7X7R:C,1722,2,1,0,0,0,2
554,687b62259332458a41d032e29b3990a3ee1e2f970da5e4b7662a6a2dcd972595,7Y7Q_chain_A,7Y7Q:A,1026,2,1,0,0,0,2
555,143f8b8b0017a3ac25c4e54622c823d32a3b3c7e63387b714705a1db79247dc5,7Y83_chain_D,7Y83:D,746,2,1,0,0,0,2
556,72e864a3e922b27710f9267d4aa91c18724c9138aaf5d5d7f22f7a75470ab8d6,8AAF_chain_SA,8AAF:SA,1038,2,1,0,0,0,2
557,5ff01ba996eccd74dcb8dc8b8a8b8d05c1ecbb863a19b41a6731e315ab1c1c78,8AAF_chain_VA,8AAF:VA,158,2,1,0,0,0,2
558,a723292ba0f8dab11cf051a320953e2b42c41c8c88316a05dd56ea23adbf6aea,8BH8_chain_A,8BH8:A,532,2,1,0,0,0,2
559,b8945eb6625288f6a5a903c774b6d992f0b3cbff5e10eb3975426e1faaa56981,8CTI_chain_B,8CTI:B,428,2,1,0,0,0,2
560,ce86ed7805506968b5ace9992c4c3c28fb092f4ad535241526c8845b9f5f3f6e,8D4A_chain_A,8D4A:A,1232,2,1,0,0,0,2
561,7db2e5b30380791869df1a391b525c909d9395b2fd0818f6709f8f013e518808,8D9I_chain_A,8D9I:A,1256,2,1,0,0,0,2
562,8481861e03eca8ea678aa20d0b0abf7f6cd0234584eae8851e0f0aef299f72b3,8E29_chain_A,8E29:A,885,2,1,0,0,0,2
563,9a9308155910ba4260566968cc4887a23a3c6c948e642f4ad7ceea9f4a651ef2,8EEY_chain_C,8EEY:C,751,2,1,0,0,0,2
564,776faf3c67d326aab7bff7d9daf0fb2f21c98c8ca3d85284d8eeaff8859488c7,8FJL_chain_A,8FJL:A,1273,2,1,0,0,0,2
565,5243374c8e0182d926ddd3ac6fdf824afa4afe763b200d165640592cb45de53f,8FNC_chain_C,8FNC:C,310,2,1,0,0,0,2
566,03668c5da3885593d151638663239ea9535c07bf3830def3877728c81e9fe323,8FNI_chain_E,8FNI:E,174,2,1,0,0,0,2
567,58093dddff563e10a0a0f9e91897011e5a6a6583c0ca62a0c113b03fbe29faac,8FNI_chain_G,8FNI:G,872,2,1,0,0,0,2
568,2fb47f9ae8354f36b09bbbd78abad01e9fb0bbb088de0da9d75d5e453d4f9201,8FNI_chain_J,8FNI:J,320,2,1,0,0,0,2
569,de337cd8afd0120b5cf00627f819c9c316606171f44248079b9d68cf807e4a32,8FOJ_chain_A,8FOJ:A,1468,2,1,0,0,0,2
570,eea54616b4549501c5d82f0ac35ed490e8a7f934a42e8a44f8700c89b7434635,8FZT_chain_A,8FZT:A,1384,2,1,0,0,0,2
571,d71fbfc7872fe5b39f96d121fef44c309250c8025320545ae6ee92eeab38aa8d,8GKH_chain_B,8GKH:B,1032,2,1,0,0,0,2
572,b55e966491352a73fe19bea7a9528ce553df9352ac4a6059446aad6d6f3d950e,8GZP_chain_A,8GZP:A,908,2,1,0,0,0,2
573,d939cd3bfac44755ffa76aef34812ba6e683df02092805bf77ed5c239aa6980c,8H0I_chain_A,8H0I:A,371,2,1,0,0,0,2
574,7d2940a6e68ce984acd0bc2435214ebb5e897201d5cfcdcd1ddbfaa1ac036941,8H0I_chain_D,8H0I:D,156,2,1,0,0,0,2
575,800eeba4078cdffe8cd5259ef9aea5cd8cb2b6fdb17ef758526f4ceb19aee9a6,8H67_chain_D,8H67:D,237,2,1,0,0,0,2
576,ce8e0eda8861d836205ffcdb5dc13d65be2a6625eb4759dca398414ee94ac2de,8H67_chain_E,8H67:E,301,2,1,0,0,0,2
577,cd4d0c77f6aac1cb001d91992121158a4930ca185700c1fd7ecc62b48a817f6b,8H69_chain_C,8H69:C,716,2,1,0,0,0,2
578,a322168dfac5677c8cbc2c542d144b3f93bc810845b3c85a7aee2fc013d9135b,8H69_chain_D,8H69:D,757,2,1,0,0,0,2
579,a99c64e990d32d7edfffe74ae90c17b60b48a70c2752578f87c09d9085a73f6f,8HMZ_chain_C,8HMZ:C,546,2,1,0,0,0,2
580,a5c6886025a5103ded9e7cd5ab7ddf66e476f66a31f894f70b305fe21bef3619,8IBX_chain_A,8IBX:A,1114,2,1,0,0,0,2
581,e09c3bf8734c187e1e01f329846dd3f066671b3dfc15ebfe70b8884d9e8e2e44,8IEW_chain_A,8IEW:A,737,2,1,0,0,0,2
582,683c158fe241814052607e374420390eb145023531dcf3955426b53c07095ca0,8IN8_chain_A,8IN8:A,587,2,1,0,0,0,2
583,019db8a168c528c5ccdee2b125ff0e61c44ec9b9db4df8a4d69d47ba91536d4e,8OZ0_chain_O,8OZ0:O,913,2,1,0,0,0,2
584,797b6fb89ea94e5f3ccb7afc815e10b4005497fada47475771b068b374da4af5,8PJ1_chain_XA,8PJ1:XA,1382,2,1,0,0,0,2
585,8267b0424d7c254b5d57dcd56d7d920a6481809dee6416573ade7f69fa4c5bcf,8PJB_chain_A,8PJB:A,1158,2,1,0,0,0,2
586,22b6de14c1c843ce9a819d7faef0ad6a84c7234e3007c32dc07345cffa7b0cc1,8PNQ_chain_C,8PNQ:C,788,2,1,0,0,0,2
587,9f0ba2d8075c58640aa793bfdadbd558dba717be0a1a8c4868a34acf6f286b08,8PSZ_chain_A,8PSZ:A,419,2,1,0,0,0,2
588,68c1371470a9d05e4549e708548787a31e3b9e3d1e60fc0e0b4bbc1bb25f28a7,8PV1_chain_L,8PV1:L,249,2,1,0,0,0,2
589,8e06c7fa2670427e4600c72dfe8b513e9c6b52529438b229badf24aa3c36ea56,8QG0_chain_B,8QG0:B,273,2,1,0,0,0,2
590,8710dd8f4b2ba919660ee892e165b99bb9b81120cc5169febf9e8637a5381306,8R3K_chain_A,8R3K:A,716,2,1,0,0,0,2
591,57397de7dfcf170dd7eab07d68feec78db19876620bdb5800cda021525e4ab82,8R3V_chain_D,8R3V:D,65,2,1,0,0,0,2
592,28ba7badae2bf840c4d57e5d9eae75222fe06ec1a7746901f98a394bb783c9ea,8RR1_chain_E,8RR1:E,798,2,1,0,0,0,2
593,1f7e16d8182b6042458d66b139e53d4a463951c8b06d2231fce0663c3b78d603,8RR1_chain_F,8RR1:F,315,2,1,0,0,0,2
594,997e9e0c773ae9e0a22820d2ebb90c8f3803e25c8e5eaccbae5bd1faa805ce70,8S9V_chain_B,8S9V:B,193,2,1,0,0,0,2
595,7ce2616e10f1dd0d1375c0380c5e1edd7147a617c46cca001ab2f2fc419ee63d,8S9V_chain_C,8S9V:C,575,2,1,0,0,0,2
596,b39b95e1654b878b8a5a1393ca63273ff540e5b7805bb779da4618e726407e02,8S9X_chain_A,8S9X:A,791,2,1,0,0,0,2
597,9412edb8326461948dffd7bc3b38982eaf383143de890cf1fc574547d9a0fa09,8S9X_chain_D,8S9X:D,522,2,1,0,0,0,2
598,0392a3c63ccb9d74ff43786a0b856e041458eb3af6dfe727797ca2453e630659,8S9X_chain_E,8S9X:E,795,2,1,0,0,0,2
599,8b309923ba1983dfed278865dbc6ce617939a015f3034a4ae5511caca90b3512,8SH5_chain_A,8SH5:A,228,2,1,0,0,0,2
600,e152d01eead6dfa27ca672830debea0c08ba8d4db04ba78d0c520be5e993ad12,8SPQ_chain_A,8SPQ:A,1369,2,1,0,0,0,2
601,241cb573543342cf66d5f86e39d1255534f835c7b3bf16c5213a21eca2eb7c96,8SXT_chain_C,8SXT:C,1275,2,1,0,0,0,2
602,40bbf62d72e5ce322deb978d8c333df7b508cd205383d704e09aa96d687a0d8a,8W1P_chain_A,8W1P:A,335,2,1,0,0,0,2
603,33865cd0a9c268a7a3973f0fac26a3a5ef0a5ba47063d07caea0a9d004e126d0,8W1P_chain_H,8W1P:H,255,2,1,0,0,0,2
604,db986aa3b6ff260cd8b48d3e7c71df7387780ec24e38ad313dc9923219e7da8b,8W1P_chain_I,8W1P:I,181,2,1,0,0,0,2
605,c9e74a98155cb2af67f9c71f374132fbdc361eb1b9a5a23daa011aefb398a0ae,8WF9_chain_A,8WF9:A,1094,2,1,0,0,0,2
606,643f49519f7320a67766cd27a68d35f3aa14dcd9b8fbf7a1a5025e3534991f32,8WND_chain_A,8WND:A,1080,2,1,0,0,0,2
607,1ca67c37252889bf51b8700827eec181668d15db9fab4b735cab1e1d56211ccd,8WUS_chain_A,8WUS:A,496,2,1,0,0,0,2
608,9e6bdc2d4d49400f9567bdc94ae435ae911d0a15dbe79f43c0989108cfe65d86,8WUS_chain_B,8WUS:B,1367,2,1,0,0,0,2
609,0277d90aad2a0f4e6daaa14c79edeba7b04eb1c43c8071dbb40d51059204e994,8Y9L_chain_A,8Y9L:A,870,2,1,0,0,0,2
610,6d9eaf3460287342f185d74fe5ab0d22700e5237572ae0e6c38ad4327269161c,8YHA_chain_A,8YHA:A,388,2,1,0,0,0,2
611,d9604947bd9b3beb19b2dbf62c7864d66b8399bf3320d1875ca751293332cff9,8YHA_chain_B,8YHA:B,272,2,1,0,0,0,2
612,eacb8ae375a14796f4cfca2b7b0a1fba0a04abd656e3b8b831f6d3155ce4610f,8YHA_chain_D,8YHA:D,378,2,1,0,0,0,2
613,2dcdfc9d401c1433e60f2cef61afc716628efda49031f22e8422e75432adbdeb,8YHA_chain_J,8YHA:J,535,2,1,0,0,0,2
614,fdea6782038a46a9d44a54c7c785f2f02fe24189997a376dfe06a1fd544dd9ed,8Z0K_chain_F,8Z0K:F,344,2,1,0,0,0,2
615,64a8e218abbacf5f8e1a5114c017b9226b491e9a6c378993f0325623fdae3f9d,9B83_chain_B,9B83:B,1492,2,1,0,0,0,2
616,afb929c884bed5f6163e46a717f7128eb36dafd5cd466d6a1a8e93e0e35e2c17,9DOW_chain_A,9DOW:A,597,2,1,0,0,0,2
617,e3c8e7072469e8acb5ac3a1025974bcf4a708afaa6bb810fd86f1ae88381a370,9ENE_chain_A,9ENE:A,481,2,1,0,0,0,2
618,790c7fb6154b50d3a21188057b9b566fbdee857a7eadb9754ba38bf85f8eaad7,9ERE_chain_C,9ERE:C,929,2,1,0,0,0,2
619,9edca26fc9dc27d0c20bad2e40e8ff3cb1d360f9b87daff391ed46383f9cc821,9EY0_chain_G,9EY0:G,356,2,1,0,0,0,2
620,09d0f47cf3d05cecf3468629646f643f90de75340a78e07f8279e8f40c7803d3,9G33_chain_SA,9G33:SA,511,2,2,1,0,0,1
621,9ab55783578d15e84dc05d119df3483ccf6d787084bd1e3abfdaffa064c760dd,9G9F_chain_A,9G9F:A,774,2,1,0,0,0,2
622,9ce91c963a5f8435585255399f8165a5ad892cf27e57d48845d8482e3dc1a387,9G9F_chain_B,9G9F:B,379,2,1,0,0,0,2
623,3ee9a4a2bf5ce7dc80dd6df79f99df982a51acd00b4780a69ffe1635a768c232,9G9F_chain_E,9G9F:E,214,2,1,0,0,0,2
624,0162f3a920053c5b939559f60df5614679c9af95aebfacb7c2700421cfb8dca1,9G9F_chain_H,9G9F:H,307,2,1,0,0,0,2
625,7a0894975e03e298fcc56a119fd60c0fa654269dd664a8cc842fa95aba402a02,9GBW_chain_B,9GBW:B,246,2,1,0,0,0,2
626,27502a8673a1aecc7a83d42bb4cef1aff1475359436cd7089d36a8100de46df3,9GBW_chain_D,9GBW:D,170,2,1,0,0,0,2
627,0ad74de4db2e7c0ca70073206f60b2245701370986fa63b4d6443e425b6c9a86,9GBW_chain_L,9GBW:L,339,2,1,0,0,0,2
628,31d9a6eeb00f4842b40477d2cab7f787dc1f0b9d6d0a95e523648b5b22cc4d10,9HM4_chain_A,9HM4:A,1168,2,1,0,0,0,2
629,b8fd5de27a51fcc0f4e234447a1ce68238f6bfa20387877f57a1b62d00570825,9IAJ_chain_D,9IAJ:D,248,2,1,0,0,0,2
630,f6acc6ff719bbb9b88a6cc4c5d8b2c757a80afaf09e660355d082e2bc3ee3729,9IIY_chain_A,9IIY:A,987,2,1,0,0,0,2
631,a261093376c0197e78643ababc780d5a4aefe7316bd605fbb0f6a619b695a7ce,9IRF_chain_B,9IRF:B,184,2,1,0,0,0,2
632,38afc1830aef460d57a678dbe460bda24329635788ae3ac8d2cd0c993848a288,9JPF_chain_A,9JPF:A,473,2,1,0,0,0,2
633,cddc231780bb1be5c572032e61178744082f01f6eea4d39fca1e91f9cb12cddf,9JPF_chain_B,9JPF:B,327,2,1,0,0,0,2
634,789e1e1e81aaa4bb2ed387c01d368ac24072a554c734d86a7bf730cde49abf17,9KBZ_chain_A,9KBZ:A,1720,2,1,0,0,0,2
635,2ecb35272e9cc3a9dbde155049e8d3cbb96bc7c282a0ebce858e081e34c3c977,9LQ6_chain_D,9LQ6:D,279,2,1,0,0,0,2
636,0f7b7897a7ffffbf7f9bd1c71f18033f21c229054935bd402ed313cda929594d,9LQ6_chain_G,9LQ6:G,136,2,1,0,0,0,2
637,af8d6ffb1e2d89fcd36dc510cdbd46f64545b5d156e2d6b1eb142c28fa1192c2,9LZU_chain_A,9LZU:A,966,2,1,0,0,0,2
638,b5ad729a7993e04f038134fbd269f9567c1c7055a663af72e718b337eac97d21,9M33_chain_A,9M33:A,877,2,1,0,0,0,2
639,40990154308d283f4b9dfcdb169593cb6adaa8c00575690ad8e5c41f7f4d7bc8,9M8Q_chain_A,9M8Q:A,967,2,1,0,0,0,2
640,a82040cacfc741dc7ccf4ebc76c2c8e90a9403b30ee388e4fd160082e49c59e3,9N79_chain_FA,9N79:FA,573,2,1,0,0,0,2
641,228c69ed3149186168ff230cd3e4e3ff2faff311d705f48e1cc0e9fa04833981,9NEP_chain_A,9NEP:A,538,2,1,0,0,0,2
642,67cda55c10148642e7c8d3b7332946e7c722f807baeab9f237fe32bed724c5e4,9NF8_chain_B,9NF8:B,416,2,1,0,0,0,2
643,19d694b1e8f7f7673fa15f32f0a61b6b657c82dcb340c013abbdf734f6fc1b04,9NHC_chain_D,9NHC:D,149,2,1,0,0,0,2
644,4aaa64caafe226fee75c8ba909e6e60af9318979f24fb44a7fd26a5cf5aa02e3,9NJF_chain_LA,9NJF:LA,530,2,1,0,0,0,2
645,8dfb4b43059f61e8f408ae7c3b273603f5792ea60b6d004d3d5a4bc013854934,9NL2_chain_A,9NL2:A,1121,2,1,0,0,0,2
646,5c8968182a76bdad0f213b0f74a11b7d09eed45aeea0e447267c6769246253c2,9NO0_chain_A,9NO0:A,773,2,1,0,0,0,2
647,9e788c1208c156ed85b59ecb7a71820af2dc217d882fecfdcc787421fa72d9f4,9OXE_chain_B,9OXE:B,574,2,1,0,0,0,2
648,0008453438b17fccc3f525841db1280956d9d842d5f73cde6bcb136bc738da6f,9OXE_chain_C,9OXE:C,244,2,1,0,0,0,2
649,9dbf8a8c142a38d41b33884f1bbd8340454352f34641991667e599908a79e2df,9PMM_chain_A,9PMM:A,379,2,1,0,0,0,2
650,b707f87bb7727e48781cbc50c703c0b2e4dca0e8d6753733bc98d660577c3fb2,9RAF_chain_B,9RAF:B,788,2,1,0,0,0,2
651,ffdd9d1af42cb42ec58477bec60a5ec257aa725a0df421d6992396c78d98bf18,9V44_chain_A,9V44:A,716,2,1,0,0,0,2
652,972c4b60d2ad6d528056c6999928400df2bdd47ced8e14529729d84c320c3e13,9V44_chain_B,9V44:B,757,2,1,0,0,0,2
653,42104066b3bc1903a6c0b50c223f505e80598ab7d0c6332cc9af3dbeaee97cb4,9VX6_chain_D,9VX6:D,442,2,1,0,0,0,2
654,e855e0830b1783571676c2da038f0ec697237f4b038f8af3575b24fb18d93cdf,9YCK_chain_A,9YCK:A,140,2,1,0,0,0,2
655,9ced387f1f560b95093ac8787875de15998a75f116ae987ea74198c98b6ea61f,9YCM_chain_C,9YCM:C,524,2,1,0,0,0,2
656,b0d0457c3f95487b2edd8e8097e8e954619445e86698cbf1dc672e231d82f7b8,AIMP1,Q12904,312,2,1,2,0,0,0
657,c6c68b0fd0d91ac09b4d54081495e3a55d20808d2506fbd3cfa99ee0129dde5d,CBX7,O95931,251,2,1,2,0,0,0
658,d984538e61f0ac96150c16f0b410aa1a4f6d5c88905a5835ef30abdde6c822de,CLK3,P49761,490,2,1,2,0,0,0
659,d7552f6298d92202ccebbd0103482ba36ccf826a9da3b7a5baabae9ebb08ef21,CNOT7,Q9UIV1,285,2,1,2,0,0,0
660,0073568dbc6cfec2bd5d72e8298f4cddf382a399d638dee6d43ddc3835900635,DCP1B,Q8IZD4,617,2,1,2,0,0,0
661,700060e796797c72716abd4cae150351e0449cad87a89bed6aa1e5575679394f,DDX43,Q9NXZ2,648,2,1,2,0,0,0
662,48ec5dbc44e863b8928808b544bb07b3a96a248a8044ce385e6645a8075b7e15,ELAVL1,Q15717,326,2,1,2,0,0,0
663,3535c19d6bf82ce7ac0e6ccfd5b0d819bd2c0b115a67d0b2a8e2d37e42f0eb0d,EXOSC4,Q9NPD3,245,2,2,1,0,0,1
664,0f9088f26afcdc71166f2e1a9061b70009e0ee7b240eca16bec692c53baed6ba,FBL,M0R1H0,178,2,1,2,0,0,0
665,a3e062191b0c112dfa29940f74d1588f82412f551424ec39563591add208b60a,ILF2,Q12905,390,2,1,2,0,0,0
666,3944f7cc837195985c71597fc913f05d1fd8834da7306203566d3a13a6fd5082,IMP3,P32899,183,2,2,1,0,0,1
667,cc77d21e8d797ca19fe9f6ff2ce35e75ebd4a52cf6e2ab12bd96c25d619afd0f,METTL14,Q9HCE5,456,2,1,2,0,0,0
668,a346071c0d6c7da0560a10279517a8681b71170b2b859a37f2edd6184ad0dc2c,MEX3C,Q5U5Q3,659,2,1,2,0,0,0
669,3e476ec4dd8f15441f5a382e411a0a1c15741e95ae1c9a3cf608d21c6da3c1f1,NANOS3,P60323,173,2,1,2,0,0,0
670,5b382c05fc1a0133b9866c10868c6473e5fbb14d15e38c8e8cd05356a8e4c4c2,PARN,O95453,639,2,1,2,0,0,0
671,4b26572e989c92e6d0071d302b8e6415d4da8425474f0327719587974eb98d67,PCBP1,Q15365,356,2,1,2,0,0,0
672,14ad147733dc594cbd2d46beb55925ce7b7556c4bcd028971a34fe138a6c1876,RBFOX2,B0QYV1,357,2,2,1,1,0,0
673,314be271367e8b3b3a6c8375cf4abc34a3f04f87ec929c4a224584087f1ad514,RELA,Q04206,551,2,1,2,0,0,0
674,e782cbe9d518859bd399ea08ea3178248e5cfededa2f5c738268fb890afdf323,TOB2,Q14106,344,2,1,2,0,0,0
675,179380e5f15bc53b435184c51f8f9f82683e23db28354786dd1e218ee4ed49e0,YBX1,P67809,324,2,1,2,0,0,0
676,562e17a3968db40761cd1e8169b8fe5c9b8922256385ac891b8f2b88af83f1f4,1A1T_chain_B,1A1T:B,55,1,1,0,0,0,1
677,15c8a8498d4ff099006b41342ca01430c589ffb99fb2a26b290b16d6a6516ffa,1A9N_chain_E,1A9N:E,96,1,1,0,0,0,1
678,8f118f9e8c91afddd96917a7a39d0d63fa88a04d790198d7bb3e8db546793256,1B7F_chain_C,1B7F:C,168,1,1,0,0,0,1
679,40ad54f72a44981d2e2e9c86535df75b852757338f3f1249d974ba7270c40031,1C0A_chain_B,1C0A:B,585,1,1,0,0,0,1
680,714ef84b9b154de57f4735e974c3071b497e054c3c71d5111a09b9e3353a1c48,1CVJ_chain_I,1CVJ:I,190,1,1,0,0,0,1
681,a06adcb62223a4c1074d2ffd16f32cd651b965efa354190acdde3747be7af922,1DI2_chain_E,1DI2:E,69,1,1,0,0,0,1
682,0050e19b508912240279769a215dd1c9c1fa0687bbd3df1dc21807034424b755,1DUL_chain_B,1DUL:B,133,1,1,0,0,0,1
683,a4f5a877a37a03dd83affb2186dc13e64c0436800a8ddfa23d8c4962524ff5cb,1E8O_chain_A,1E8O:A,85,1,1,0,0,0,1
684,c15211e6d91a6b0ecb2ea9e02dd44eef12788c5a82dda63d71565682ac363e9c,1E8O_chain_B,1E8O:B,106,1,1,0,0,0,1
685,09762a34911b6b87bf9b314f09e787a145612235f0ffc73eaeea4d16237f576d,1EC6_chain_C,1EC6:C,87,1,1,0,0,0,1
686,f335cb12f49c51745910c0b079d2ab38dd16ce9f02edb833bfd5dcef8ff6f5f3,1EFW_chain_C,1EFW:C,580,1,1,0,0,0,1
687,eaa13a9836a71a2d6f2053d7b8d344a6fb5f531e51e68c4f3ea5d929be512bc1,1EIY_chain_B,1EIY:B,350,1,1,0,0,0,1
688,d6acce1439672d7b024063e4e218b87c17fe8396066de51ffb677afb511704d1,1EIY_chain_C,1EIY:C,785,1,1,0,0,0,1
689,47e2f45c9e848d403740ac147c0dac00d6421365123ca6b63d8bc8e996bbf3c8,1EKZ_chain_B,1EKZ:B,76,1,1,0,0,0,1
690,fa3d2a574e264e7f85dc05b302a1df392f6730cedbc2dee4a97b71518a2738a6,1F6U_chain_B,1F6U:B,57,1,1,0,0,0,1
691,7fdfbfb61a6a86651fa2b39d241ce5e4ae13b6cd65b534ef30884b46d3d48a5f,1F7U_chain_B,1F7U:B,607,1,1,0,0,0,1
692,c9ffa99367697ae409d59cf2071f340f864a4cc4d75ac6b2c9597c8d5a55769b,1F7Y_chain_B,1F7Y:B,97,1,1,0,0,0,1
693,05c649ccc84ea134b22b39a71e6bae18fa7d743551875c6b71fbbb012feab471,1FFY_chain_B,1FFY:B,917,1,1,0,0,0,1
694,d753cbb11f962525dfc1ad0634fa05b407a70829ef9583fdd20bcf284a6e9f1f,1FNX_chain_B,1FNX:B,174,1,1,0,0,0,1
695,81452a94c2105af302b03b91fb74e691702677bc924485da932cb9ed0c7bc589,1FXL_chain_B,1FXL:B,167,1,1,0,0,0,1
696,29fb700a4c85945886778a83ea97d98268cd1d328e0e76917f60711ee8a48142,1G59_chain_C,1G59:C,468,1,1,0,0,0,1
697,e816ecef45c7e72931343d948532b5709db51f150fd708b8e22810ccf16e4dc4,1GAX_chain_C,1GAX:C,862,1,1,0,0,0,1
698,556da1429625abad09242b93f46f8354f4b50e5ef854f68b2a659cd996e73883,1H3E_chain_A,1H3E:A,432,1,1,0,0,0,1
699,5b11a98b87e44c87301590e1e9ebdd77fcdf285b83632b7b621e1e609842736f,1H4Q_chain_A,1H4Q:A,477,1,1,0,0,0,1
700,eec4ebf3a12da1361a87bb216c58a00bf35ff69e7eaa7c61de664fa25902b5aa,1HQ1_chain_B,1HQ1:B,105,1,1,0,0,0,1
701,0edb92c9efb39e3899c632d7b768b0ba1e3778af271943616e165c4a014dd6c8,1HVU_chain_E,1HVU:E,554,1,1,0,0,0,1
702,eed3340b29ea0660423875a634741274a0492eae3270c19984b59ed92442c998,1HVU_chain_F,1HVU:F,423,1,1,0,0,0,1
703,74234f3d0ba23bcb9dd006602c3f523d17134e97690ce0375af7bb863baa6039,1HYS_chain_C,1HYS:C,553,1,1,0,0,0,1
704,7c77329c1ec84d27ecf9b95a97d70cb04e55b5123fd7fc9147ba7931119018ba,1HYS_chain_D,1HYS:D,425,1,1,0,0,0,1
705,9da91355710f9c4bb387bf2e58504bb1141bdf8901f28d5577a85ce3db0140af,1J1U_chain_B,1J1U:B,306,1,1,0,0,0,1
